HGNC.ID	ENSG	Symbol
HGNC:9464	ENSG00000232630	PRPS1L2
HGNC:9465	ENSG00000101911	PRPS2
HGNC:9466	ENSG00000161542	PRPSAP1
HGNC:9466	ENSG00000161542	PAP39
HGNC:9467	ENSG00000141127	PRPSAP2
HGNC:9467	ENSG00000141127	PAP41
HGNC:21149	ENSG00000204576	PRR3
HGNC:21149	ENSG00000204576	CAT56
HGNC:21149	ENSG00000204576	Em:AB014077.1
HGNC:21149	ENSG00000204576	Em:AB023052.2
HGNC:18020	ENSG00000111215	PRR4
HGNC:18020	ENSG00000111215	PROL4
HGNC:18020	ENSG00000111215	LPRP
HGNC:31682	ENSG00000186654	PRR5
HGNC:31682	ENSG00000186654	PP610
HGNC:31682	ENSG00000186654	FLJ20185k
HGNC:31682	ENSG00000186654	Protor-1
HGNC:34512	ENSG00000248405	PRR5-ARHGAP8
HGNC:25878	ENSG00000135362	PRR5L
HGNC:25878	ENSG00000135362	FLJ14213
HGNC:25878	ENSG00000135362	PROTOR-2
HGNC:28130	ENSG00000131188	PRR7
HGNC:28130	ENSG00000131188	MGC10772
HGNC:27961	ENSG00000246334	PRR7-AS1
HGNC:28293		PRR8
HGNC:28293		MGC20460
HGNC:28293		DKFZp434D1319
HGNC:32057	ENSG00000203783	PRR9
HGNC:25619	ENSG00000068489	PRR11
HGNC:25619	ENSG00000068489	FLJ11029
HGNC:29217	ENSG00000126464	PRR12
HGNC:29217	ENSG00000126464	KIAA1205
HGNC:24528	ENSG00000205352	PRR13
HGNC:24528	ENSG00000205352	FLJ23818
HGNC:24528	ENSG00000205352	DKFZP564J157
HGNC:50614	ENSG00000232824	PRR13P1
HGNC:50615	ENSG00000254884	PRR13P2
HGNC:50616	ENSG00000271412	PRR13P3
HGNC:50617	ENSG00000264971	PRR13P4
HGNC:50618	ENSG00000187534	PRR13P5
HGNC:50619		PRR13P6
HGNC:50620	ENSG00000271202	PRR13P7
HGNC:28458	ENSG00000156858	PRR14
HGNC:28458	ENSG00000156858	MGC3121
HGNC:28738	ENSG00000183530	PRR14L
HGNC:28738	ENSG00000183530	C22orf30
HGNC:28738	ENSG00000183530	MGC50372
HGNC:22310	ENSG00000176532	PRR15
HGNC:55866	ENSG00000223813	PRR15-DT
HGNC:28149	ENSG00000167183	PRR15L
HGNC:28149	ENSG00000167183	ATAD4
HGNC:28149	ENSG00000167183	MGC11242
HGNC:29654	ENSG00000184838	PRR16
HGNC:29654	ENSG00000184838	DSC54
HGNC:28574	ENSG00000176381	PRR18
HGNC:28574	ENSG00000176381	MGC35308
HGNC:33728	ENSG00000188368	PRR19
HGNC:33728	ENSG00000188368	MGC70924
HGNC:24754	ENSG00000204919	PRR20A
HGNC:24754	ENSG00000204919	PRR20
HGNC:24754	ENSG00000204919	FLJ40296
HGNC:37220	ENSG00000204918	PRR20B
HGNC:37221	ENSG00000229665	PRR20C
HGNC:37222	ENSG00000227151	PRR20D
HGNC:37223	ENSG00000234278	PRR20E
HGNC:49097	ENSG00000271140	PRR20FP
HGNC:49097	ENSG00000271140	PRR20F
HGNC:53837	ENSG00000239620	PRR20G
HGNC:33866		PRR21
HGNC:28354	ENSG00000212123	PRR22
HGNC:28354	ENSG00000212123	MGC24975
HGNC:37172	ENSG00000206260	PRR23A
HGNC:33764	ENSG00000184814	PRR23B
HGNC:33764	ENSG00000184814	FLJ46116
HGNC:37173	ENSG00000233701	PRR23C
HGNC:37173	ENSG00000233701	FLJ46210
HGNC:49420	ENSG00000255251	PRR23D1
HGNC:49396	ENSG00000255378	PRR23D2
HGNC:54637	ENSG00000254776	PRR23D3P
HGNC:37230		PRR25
HGNC:37230		gs64
HGNC:33193	ENSG00000187533	PRR27
HGNC:33193	ENSG00000187533	C4orf40
HGNC:25673	ENSG00000224383	PRR29
HGNC:25673	ENSG00000224383	C17orf72
HGNC:25673	ENSG00000224383	FLJ11724
HGNC:25673	ENSG00000224383	DKFZp761M2312
HGNC:51822	ENSG00000264954	PRR29-AS1
HGNC:28677	ENSG00000186143	PRR30
HGNC:28677	ENSG00000186143	C2orf53
HGNC:28677	ENSG00000186143	MGC44505
HGNC:34498	ENSG00000183631	PRR32
HGNC:34498	ENSG00000183631	CXorf64
HGNC:35118	ENSG00000283787	PRR33
HGNC:35118	ENSG00000283787	C11orf89
HGNC:35118	ENSG00000283787	LOC728008
HGNC:25606	ENSG00000182257	PRR34
HGNC:25606	ENSG00000182257	C22orf26
HGNC:25606	ENSG00000182257	FLJ10945
HGNC:50499	ENSG00000241990	PRR34-AS1
HGNC:14139	ENSG00000161992	PRR35
HGNC:14139	ENSG00000161992	C16orf11
HGNC:26172	ENSG00000183248	PRR36
HGNC:28164	ENSG00000164244	PRRC1
HGNC:28164	ENSG00000164244	FLJ32875
HGNC:13918	ENSG00000204469	PRRC2A
HGNC:13918	ENSG00000204469	BAT2
HGNC:13918	ENSG00000204469	G2
HGNC:13918	ENSG00000204469	D6S51E
HGNC:28121	ENSG00000288701	PRRC2B
HGNC:28121	ENSG00000288701	KIAA0515
HGNC:28121	ENSG00000288701	BAT2L
HGNC:28121	ENSG00000288701	BAT2L1
